,geo,text,user,location
39,," Match 2. 5.1: WICKET! K Nair (1) is out, c Prithvi Shaw b Ravichandran Ashwin, 32/2  #DCvKXIP #Dream11IPL #…",SheraryGayathir,
40,," Match 2. 5.5: WICKET! N Pooran (0) is out, b Ravichandran Ashwin, 33/3  #DCvKXIP #Dream11IPL #IPL2020",SheraryGayathir,
41,, Match 2. It's all over! Match tied (Delhi Capitals won the Super Over)  #DCvKXIP #Dream11IPL #IPL2020,SheraryGayathir,
42,, Here is my #IPL2020 upcoming 5 MatchesPREMIUM LINE SCHEDULE.1. #̶M̶I̶v̶C̶S̶K̶_̶P̶R̶E̶M̶I̶U̶M̶2.#̶D̶C̶v̶K̶X̶I̶P̶_̶P̶…,thisz_rohit,
43,, Who could win the COIN🎁 Today?!In the last match (#MIvCSK) 58% People predicted perfectly about toss.What about tonigh…,Shobhit53808442,
44,, It's been late but we WON IT ✔️Congratulations!!DELHI WON ✔️see you tomorrow for #SRHvRCB Match in my PREMIUM LINE ✔️…,Shobhit53808442,
45,, Here is my #IPL2020 upcoming 5 MatchesPREMIUM LINE SCHEDULE.1. #̶M̶I̶v̶C̶S̶K̶_̶P̶R̶E̶M̶I̶U̶M̶2.#̶D̶C̶v̶K̶X̶I̶P̶_̶P̶…,Shobhit53808442,
46,, #IPL2020 Viewership on Hotstar (Highest During a match)#MIvCSK: 8.1 MILLION#DCvKXIP: 4.2 MILLION#RCBvSRH: 5.2 MILL…,7W7BiR4hKmhfFBP,
47,, #IPL2020 Viewership on Hotstar (Highest During a match)#MIvCSK: 8.1 MILLION#DCvKXIP: 4.2 MILLION#RCBvSRH: 5.2 MILL…,nameisvamsi,"Hyderabad, India"
48,, Here’s to the great moments of the first match! We loved every bit of it but here are some of our fan favourites! Chee…,mngpt7,"New Delhi, India"
49,, We are proud to present the media coverage of our association with the .We envision great milestones a…,mngpt7,"New Delhi, India"
50,,#IPL2020 Viewership on Hotstar (Highest During a match)#MIvCSK: 8.1 MILLION#DCvKXIP: 4.2 MILLION#RCBvSRH: 5.2 M… ,Bingewatcher_TT,"Mumbai, India"
51,, Here is my #IPL2020 upcoming 5 MatchesPREMIUM LINE SCHEDULE.1. #̶M̶I̶v̶C̶S̶K̶_̶P̶R̶E̶M̶I̶U̶M̶2.#̶D̶C̶v̶K̶X̶I̶P̶_̶P̶…,Rajesh79723089,
52,, Here is my #IPL2020 upcoming 5 MatchesPREMIUM LINE SCHEDULE.1. #̶M̶I̶v̶C̶S̶K̶_̶P̶R̶E̶M̶I̶U̶M̶2.#̶D̶C̶v̶K̶X̶I̶P̶_̶P̶…,RajaCheepinapi,"Nellore, India"
53,,Srk to kkr for today's performance be like:#MIvsKKR #IPL2020 #WednesdayThoughts #WednesdayWisdom #KKRvMI… ,SurajNair_07,world of memes
54,, DELHI CAPITAL VS KINGS XI PUNJAB | #IPL2020  |LIVE|UAE|ENGLISH COMMENTARY|PREVIEW |ANALYSIS #DCvKXIP |#DCvsKXIPFull video :…,Naqi_786,"Cardiff, Wales, UK"
55,,watch live IPL on YOUTUBE#IPL2020 #IPL #IPLinUAE #Dream11IPL #Dream11IPL #Dream11… ,ABHAYSA68206585,india
56,," To all the cricket lovers out there, ITS IPL SEASON and it is indeed, one of the best things happening in LOCKDOWN. So si…",VaishnaviJayap1,
57,," No major #OTT film releases till Oct 30 when #SooraraiPottru releases, followed by #LaxmmiBomb on Nov 9. The #IPL2020 has taken…",Ramvignesh490,Chennai
58,, Listen in to sadda debutant who returned with some decent bowling figures tonight! 👇#SaddaPunjab #WakhraSquad #DCvKXIP…,BilluBishnoi,sriganganagar
59,, Here is my #IPL2020 upcoming 5 MatchesPREMIUM LINE SCHEDULE.1. #̶M̶I̶v̶C̶S̶K̶_̶P̶R̶E̶M̶I̶U̶M̶2.#̶D̶C̶v̶K̶X̶I̶P̶_̶P̶…,god17328284,
60,, Here’s to the great moments of the first match! We loved every bit of it but here are some of our fan favourites! Chee…,NishantJain_88,"Mumbai, India"
61,, We are proud to present the media coverage of our association with the .We envision great milestones a…,NishantJain_88,"Mumbai, India"
